EU_circo;code_région;nom_région;chef-lieu_région;numéro_département;nom_département;préfecture;numéro_circonscription;nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Attignat;01340;01024;46.283333;5.166667;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Beaupont;01270;01029;46.4;5.266667;1.91
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Bény;01370;01038;46.333333;5.283333;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Béreyziat;01340;01040;46.366667;5.05;1.71
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Bohas-Meyriat-Rignat;01250;01245;46.133333;5.4;1.01
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Bourg-en-Bresse;01000;01053;46.2;5.216667;1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Buellas;01310;01065;46.2;5.133333;0.73
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Certines;01240;01069;46.133333;5.266667;1.97
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Ceyzériat;01250;01072;46.166667;5.316667;1.15
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Chavannes-sur-Suran;01250;01095;46.266667;5.416667;1.14
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Cize;01250;01106;46.2;5.433333;0.72
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Coligny;01270;01108;46.383333;5.35;1.81
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Confrançon;01310;01115;46.266667;5.066667;1.35
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Cormoz;01560;01124;46.45;5.233333;2.27
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Corveissiat;01250;01125;46.233333;5.483333;1.58
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Courmangoux;01370;01127;46.333333;5.366667;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Courtes;01560;01128;46.466667;5.1;2.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Cras-sur-Reyssouze;01340;01130;46.3;5.166667;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Curciat-Dongalon;01560;01139;46.466667;5.15;2.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Curtafond;01310;01140;46.266667;5.083333;1.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Dompierre-sur-Veyle;01240;01145;46.066667;5.2;1.13
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Domsure;01270;01147;46.416667;5.3;2.01
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Drom;01250;01150;46.216667;5.366667;0.8
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Druillat;01160;01151;46.066667;5.316667;0.1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Etrez;01340;01154;46.333333;5.183333;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Foissiat;01340;01163;46.366667;5.183333;1.71
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Germagnat;01250;01172;46.316667;5.45;2.05
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Grand-Corent;01250;01177;46.2;5.433333;0.72
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Hautecourt-Romanèche;01250;01184;46.158333;5.416667;-1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Jasseron;01250;01195;46.216667;5.333333;0.84
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Jayat;01340;01196;46.366667;5.116667;1.71
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Journans;01250;01197;46.15;5.333333;1.08
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;La Tranclière;01160;01425;46.116667;5.266667;1.73
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Lent;01240;01211;46.116667;5.2;1.02
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Lescheroux;01560;01212;46.4;5.15;1.91
